Module	Section	Sample Name	Source
Samtools	flagstat	GSM3043065_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043065/GSM3043065_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM3043101_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043101/GSM3043101_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM3043066_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043066/GSM3043066_cutadapt_bowtie2_bam_stats.txt
Samtools	flagstat	GSM3043102_cutadapt_bowtie2_bam_stats	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043102/GSM3043102_cutadapt_bowtie2_bam_stats.txt
Bowtie 2 / HiSAT2	all_sections	GSM3043065_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043065/GSM3043065_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM3043101_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043101/GSM3043101_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM3043066_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043066/GSM3043066_cutadapt_bowtie2.log
Bowtie 2 / HiSAT2	all_sections	GSM3043102_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043102/GSM3043102_cutadapt_bowtie2.log
Cutadapt	all_sections	GSM3043065_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043065/GSM3043065_cutadapt.log
Cutadapt	all_sections	GSM3043065_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043065/GSM3043065_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM3043101_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043101/GSM3043101_cutadapt.log
Cutadapt	all_sections	GSM3043101_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043101/GSM3043101_2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM3043066_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043066/GSM3043066_cutadapt.log
Cutadapt	all_sections	GSM3043066_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043066/GSM3043066_cutadapt.log
Cutadapt	all_sections	GSM3043102_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043102/GSM3043102_1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	GSM3043102_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043102/GSM3043102_2.fastq.gz_trimming_report.txt
FastQC	all_sections	GSM3043065_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043065/GSM3043065_2_fastq.gz_qc/GSM3043065_2_fastqc.zip
FastQC	all_sections	GSM3043065_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043065/GSM3043065_1_fastq.gz_qc/GSM3043065_1_fastqc.zip
FastQC	all_sections	GSM3043065_cutadapt_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043065/GSM3043065_cutadapt_2_fastq.gz_qc/GSM3043065_cutadapt_2_fastqc.zip
FastQC	all_sections	GSM3043065_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043065/GSM3043065_cutadapt_bowtie2_bam_qc/GSM3043065_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM3043065_cutadapt_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043065/GSM3043065_cutadapt_1_fastq.gz_qc/GSM3043065_cutadapt_1_fastqc.zip
FastQC	all_sections	GSM3043101_cutadapt_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043101/GSM3043101_cutadapt_1_fastq.gz_qc/GSM3043101_cutadapt_1_fastqc.zip
FastQC	all_sections	GSM3043101_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043101/GSM3043101_2_fastq.gz_qc/GSM3043101_2_fastqc.zip
FastQC	all_sections	GSM3043101_cutadapt_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043101/GSM3043101_cutadapt_2_fastq.gz_qc/GSM3043101_cutadapt_2_fastqc.zip
FastQC	all_sections	GSM3043101_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043101/GSM3043101_1_fastq.gz_qc/GSM3043101_1_fastqc.zip
FastQC	all_sections	GSM3043101_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043101/GSM3043101_cutadapt_bowtie2_bam_qc/GSM3043101_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM3043066_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043066/GSM3043066_2_fastq.gz_qc/GSM3043066_2_fastqc.zip
FastQC	all_sections	GSM3043066_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043066/GSM3043066_1_fastq.gz_qc/GSM3043066_1_fastqc.zip
FastQC	all_sections	GSM3043066_cutadapt_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043066/GSM3043066_cutadapt_1_fastq.gz_qc/GSM3043066_cutadapt_1_fastqc.zip
FastQC	all_sections	GSM3043066_cutadapt_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043066/GSM3043066_cutadapt_2_fastq.gz_qc/GSM3043066_cutadapt_2_fastqc.zip
FastQC	all_sections	GSM3043066_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043066/GSM3043066_cutadapt_bowtie2_bam_qc/GSM3043066_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM3043102_cutadapt_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043102/GSM3043102_cutadapt_1_fastq.gz_qc/GSM3043102_cutadapt_1_fastqc.zip
FastQC	all_sections	GSM3043102_cutadapt_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043102/GSM3043102_cutadapt_2_fastq.gz_qc/GSM3043102_cutadapt_2_fastqc.zip
FastQC	all_sections	GSM3043102_cutadapt_bowtie2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043102/GSM3043102_cutadapt_bowtie2_bam_qc/GSM3043102_cutadapt_bowtie2_fastqc.zip
FastQC	all_sections	GSM3043102_2	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043102/GSM3043102_2_fastq.gz_qc/GSM3043102_2_fastqc.zip
FastQC	all_sections	GSM3043102_1	/workspace/rioualen/HT_collections/ChIP-seq_collection/GSE111874/samples/GSM3043102/GSM3043102_1_fastq.gz_qc/GSM3043102_1_fastqc.zip
